Sample	protein_coding	snoRNA	lincRNA	miRNA	pseudogene	snRNA	processed_pseudogene	rRNA	misc_RNA	ribozyme	sense_intronic	processed_transcript	TEC	antisense	scaRNA	sRNA	unprocessed_pseudogene	transcribed_processed_pseudogene	transcribed_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
GRASO_144	4018479.0	7066.0	3662.0	2438.0	4327.0	5034.0	885.0	392693.0	60432.0	18518.0	12.0	13944.0	34.0	22.0	6541.0	0.0	92.0	149.0	0.0	147.0	4808372.0
GRASO_145	87295529.0	315029.0	77409.0	8990.0	124030.0	171636.0	19102.0	569.0	543504.0	764852.0	364.0	498605.0	352.0	716.0	76211.0	6.0	2873.0	6125.0	1.0	1187.0	218124.0
GRASO_146	18969166.0	45969.0	18183.0	2139.0	19502.0	18143.0	4342.0	116151.0	145760.0	74713.0	48.0	58732.0	119.0	95.0	22245.0	1.0	417.0	991.0	0.0	608.0	5446240.0
GRASO_147	16557819.0	27404.0	13113.0	1090.0	22947.0	3735.0	3769.0	772.0	103303.0	46253.0	33.0	64226.0	76.0	108.0	13785.0	7.0	393.0	1046.0	0.0	515.0	138054.0
GRASO_148	21916756.0	34025.0	16295.0	1379.0	29245.0	2787.0	5270.0	1445.0	112470.0	61617.0	64.0	86103.0	76.0	130.0	13227.0	3.0	691.0	1505.0	0.0	672.0	91818.0
GRASO_149	14382440.0	27340.0	10737.0	915.0	18530.0	2640.0	3120.0	958.0	67059.0	51756.0	65.0	64470.0	72.0	86.0	6893.0	0.0	390.0	897.0	0.0	280.0	150375.0
GRASO_150	30354324.0	67824.0	30054.0	2201.0	36746.0	15603.0	6971.0	4886.0	164409.0	101467.0	107.0	122781.0	154.0	216.0	20505.0	3.0	912.0	1879.0	0.0	587.0	1506110.0
GRASO_151	23353124.0	55941.0	15594.0	1104.0	27521.0	55263.0	5503.0	2896.0	141264.0	86323.0	60.0	76084.0	69.0	109.0	16811.0	3.0	572.0	1242.0	0.0	767.0	709948.0
GRASO_152	26909619.0	55631.0	31068.0	2202.0	34143.0	7724.0	6643.0	365.0	189960.0	79779.0	146.0	134313.0	172.0	213.0	23566.0	0.0	1014.0	1430.0	0.0	331.0	185243.0
GRASO_153	18941985.0	39197.0	18754.0	2291.0	25851.0	5629.0	4707.0	3053.0	112954.0	100981.0	155.0	135505.0	106.0	157.0	14735.0	2.0	676.0	1224.0	0.0	280.0	50501.0
GRASO_154	4176706.0	33464.0	6244.0	541.0	7556.0	9581.0	1097.0	257.0	35781.0	45541.0	61.0	13770.0	33.0	76.0	6485.0	0.0	242.0	258.0	0.0	42.0	29719.0
GRASO_155	30218461.0	126801.0	37811.0	3384.0	42146.0	22925.0	7676.0	270.0	180329.0	226183.0	185.0	138287.0	186.0	324.0	28012.0	2.0	1034.0	1742.0	0.0	432.0	133930.0
GRASO_156	11957078.0	13833.0	9038.0	692.0	13948.0	7482.0	4199.0	29.0	97496.0	79932.0	38.0	35478.0	16.0	75.0	6245.0	1.0	232.0	858.0	0.0	345.0	23124.0
GRASO_157	15033296.0	23206.0	19148.0	1498.0	17323.0	7972.0	3761.0	1750.0	86891.0	42236.0	81.0	78625.0	76.0	127.0	9259.0	0.0	437.0	920.0	0.0	222.0	34071.0
GRASO_158	15767881.0	16530.0	12017.0	1136.0	18001.0	1830.0	5142.0	49.0	123304.0	45873.0	55.0	56702.0	43.0	91.0	11278.0	0.0	428.0	952.0	0.0	235.0	28763.0
GRASO_159	33562782.0	46271.0	30821.0	2823.0	41806.0	5985.0	7384.0	203.0	156107.0	172696.0	136.0	180026.0	162.0	247.0	17024.0	1.0	1143.0	2175.0	0.0	456.0	62561.0
GRASO_160	26484828.0	25535.0	18072.0	1856.0	34336.0	6787.0	6007.0	176.0	93730.0	66525.0	80.0	146855.0	90.0	157.0	10474.0	0.0	745.0	1665.0	1.0	545.0	107842.0
GRASO_161	15217569.0	21333.0	14378.0	1278.0	16519.0	8636.0	4470.0	1624.0	146859.0	46650.0	57.0	55743.0	89.0	157.0	20729.0	1.0	285.0	871.0	0.0	341.0	32496.0
GRASO_162	25674376.0	32988.0	29321.0	1741.0	30573.0	40563.0	5838.0	396.0	124403.0	81867.0	76.0	120586.0	126.0	148.0	15999.0	2.0	606.0	1605.0	0.0	431.0	89493.0
GRASO_163	18480987.0	15147.0	15445.0	1095.0	19700.0	3295.0	4096.0	1443.0	72006.0	54103.0	35.0	78010.0	58.0	87.0	9518.0	2.0	396.0	1221.0	0.0	565.0	58843.0
GRASO_164	14684279.0	23588.0	12464.0	1098.0	16926.0	3155.0	3884.0	803.0	83846.0	47730.0	27.0	58098.0	77.0	101.0	9790.0	1.0	318.0	965.0	0.0	744.0	58284.0
GRASO_165	24690903.0	30792.0	24394.0	1573.0	28948.0	4427.0	5979.0	1737.0	104377.0	72618.0	75.0	92562.0	94.0	135.0	13696.0	5.0	750.0	1699.0	0.0	645.0	74029.0
GRASO_166	17920926.0	22765.0	22131.0	1244.0	20808.0	2975.0	4127.0	226.0	98628.0	53951.0	65.0	73290.0	108.0	117.0	11733.0	2.0	510.0	1114.0	0.0	307.0	34023.0
GRASO_167	12283467.0	12770.0	12797.0	1083.0	13481.0	3312.0	2000.0	429.0	83100.0	62933.0	56.0	82093.0	111.0	86.0	11231.0	0.0	365.0	771.0	0.0	432.0	33247.0
GRASO_168	17441750.0	29060.0	13998.0	1463.0	19200.0	4627.0	3683.0	608.0	101570.0	114140.0	82.0	126345.0	73.0	102.0	10931.0	0.0	539.0	1061.0	0.0	323.0	115234.0
GRASO_169	9232438.0	73675.0	8146.0	2856.0	13484.0	27565.0	3644.0	1027.0	123502.0	219940.0	56.0	81698.0	43.0	53.0	13316.0	0.0	529.0	595.0	0.0	876.0	188552.0
GRASO_170	18469261.0	19188.0	24966.0	1809.0	22487.0	3374.0	4236.0	103.0	81036.0	97859.0	111.0	102494.0	104.0	174.0	9815.0	1.0	699.0	1262.0	0.0	199.0	22435.0
GRASO_171	20480119.0	14729.0	23115.0	2043.0	25478.0	4373.0	4345.0	430.0	61923.0	70103.0	88.0	112368.0	87.0	145.0	6728.0	1.0	641.0	1417.0	0.0	334.0	17203.0
GRASO_172	12782228.0	10516.0	10252.0	869.0	15466.0	4837.0	3163.0	79.0	61187.0	32885.0	24.0	52657.0	59.0	112.0	9340.0	5.0	278.0	794.0	0.0	411.0	18514.0
GRASO_173	10106998.0	8270.0	8144.0	882.0	10905.0	4063.0	1770.0	72.0	27366.0	46533.0	44.0	77834.0	36.0	73.0	4132.0	0.0	284.0	658.0	0.0	333.0	17870.0
GRASO_174	12493095.0	4779.0	11775.0	1100.0	19766.0	948.0	2561.0	31.0	16662.0	13757.0	64.0	67318.0	47.0	103.0	2538.0	0.0	394.0	720.0	0.0	93.0	13490.0
GRASO_175	13693453.0	12602.0	11462.0	923.0	15497.0	5527.0	3866.0	63.0	80052.0	49187.0	42.0	51441.0	50.0	87.0	13470.0	0.0	246.0	859.0	0.0	406.0	20955.0
GRASO_176	12980497.0	27678.0	10562.0	1236.0	18088.0	5550.0	3863.0	312.0	102449.0	74209.0	43.0	63619.0	50.0	93.0	8640.0	1.0	413.0	956.0	0.0	194.0	19909.0
GRASO_177	10284048.0	8974.0	9578.0	1228.0	14982.0	2539.0	2122.0	209.0	47657.0	42994.0	75.0	52689.0	48.0	77.0	5975.0	0.0	345.0	628.0	0.0	244.0	7308.0
GRASO_178	16740870.0	14105.0	21980.0	1786.0	21576.0	2612.0	3943.0	136.0	55512.0	71803.0	110.0	96585.0	108.0	137.0	6527.0	0.0	472.0	1141.0	0.0	185.0	17484.0
GRASO_179	16985109.0	57139.0	24742.0	3262.0	23393.0	6228.0	3673.0	188.0	72898.0	109275.0	277.0	65243.0	192.0	262.0	13413.0	0.0	734.0	1243.0	0.0	276.0	19612.0
GRASO_180	16633161.0	20913.0	22839.0	2034.0	19001.0	9040.0	4312.0	88.0	88793.0	101173.0	125.0	78288.0	104.0	140.0	9065.0	1.0	491.0	1061.0	0.0	393.0	20177.0
HIGADO_01	17067803.0	5774.0	33545.0	1273.0	16885.0	856.0	2021.0	1952.0	19920.0	46166.0	3.0	13683.0	1.0	16.0	2231.0	0.0	295.0	318.0	0.0	75.0	27530.0
HIGADO_02	25436955.0	10700.0	28873.0	2267.0	23860.0	1116.0	3552.0	1597.0	39812.0	71380.0	6.0	29631.0	8.0	20.0	3018.0	0.0	1998.0	384.0	0.0	99.0	33557.0
HIGADO_03	22079839.0	9600.0	42664.0	2868.0	20335.0	1025.0	2647.0	355.0	25195.0	60110.0	7.0	16182.0	2.0	15.0	2291.0	0.0	444.0	390.0	0.0	93.0	28456.0
HIGADO_04	18259958.0	13604.0	22093.0	611.0	17727.0	5968.0	2531.0	96.0	31686.0	73525.0	6.0	21786.0	8.0	15.0	2868.0	0.0	405.0	312.0	1.0	113.0	28240.0
HIGADO_05	21998891.0	7051.0	20755.0	481.0	22991.0	663.0	2610.0	14.0	15155.0	36940.0	10.0	34896.0	4.0	22.0	2128.0	0.0	916.0	377.0	0.0	58.0	10496.0
HIGADO_06	22567473.0	11347.0	21217.0	583.0	22401.0	1053.0	2880.0	42.0	16541.0	55470.0	2.0	36588.0	5.0	11.0	2424.0	0.0	1733.0	368.0	0.0	92.0	29784.0
HIGADO_07	31479253.0	11428.0	43713.0	4385.0	34016.0	1763.0	4447.0	1907.0	28903.0	89558.0	7.0	62728.0	5.0	24.0	3916.0	0.0	1596.0	493.0	0.0	143.0	44537.0
HIGADO_08	22877744.0	7889.0	21049.0	3072.0	20912.0	1503.0	2667.0	105.0	22349.0	65668.0	3.0	38435.0	9.0	27.0	2564.0	0.0	2092.0	354.0	1.0	99.0	77954.0
HIGADO_09	17196195.0	7070.0	18348.0	774.0	17554.0	994.0	1911.0	1103.0	19387.0	47070.0	8.0	27358.0	12.0	7.0	2788.0	0.0	970.0	242.0	0.0	159.0	30308.0
HIGADO_10	20724427.0	13522.0	43907.0	1589.0	21388.0	3199.0	2521.0	2923.0	35052.0	74409.0	12.0	15346.0	3.0	17.0	3823.0	0.0	580.0	361.0	0.0	143.0	23114.0
HIGADO_11	25426837.0	12008.0	31428.0	197398.0	26996.0	1449.0	3257.0	436.0	46095.0	64089.0	8.0	23317.0	9.0	34.0	4457.0	0.0	469.0	395.0	0.0	305.0	57949.0
HIGADO_12	23696736.0	11127.0	24634.0	1639.0	24623.0	6194.0	3241.0	2593.0	40200.0	70807.0	6.0	40750.0	3.0	21.0	3500.0	0.0	1339.0	372.0	0.0	123.0	41061.0
HIGADO_13	35768597.0	16263.0	63861.0	1898.0	36077.0	2285.0	4147.0	849.0	40987.0	95149.0	4.0	23905.0	8.0	26.0	4563.0	0.0	703.0	550.0	0.0	176.0	37799.0
HIGADO_14	33851854.0	20600.0	64819.0	782.0	30543.0	6086.0	4477.0	43.0	85380.0	114906.0	7.0	23207.0	10.0	33.0	4775.0	0.0	581.0	548.0	0.0	264.0	26590.0
HIGADO_15	32771988.0	25993.0	36645.0	42350.0	29746.0	2365.0	3970.0	44.0	61171.0	122690.0	9.0	25615.0	9.0	29.0	5848.0	0.0	900.0	500.0	0.0	219.0	25660.0
HIGADO_16	18993382.0	10680.0	27640.0	1136.0	20195.0	2067.0	2844.0	379.0	27798.0	64145.0	3.0	43746.0	3.0	13.0	2217.0	0.0	710.0	348.0	0.0	115.0	20911.0
HIGADO_17	29968862.0	16906.0	39245.0	820.0	28113.0	1800.0	3723.0	168.0	50420.0	100803.0	3.0	50106.0	7.0	29.0	4689.0	0.0	1790.0	453.0	0.0	195.0	53877.0
HIGADO_18	34314843.0	18393.0	40601.0	12282.0	33747.0	1573.0	4480.0	6586.0	55616.0	133807.0	9.0	71635.0	11.0	29.0	4914.0	0.0	1475.0	589.0	0.0	198.0	68223.0
HIGADO_19	28952055.0	10779.0	44400.0	689.0	29609.0	1218.0	4298.0	89.0	31600.0	70578.0	4.0	19440.0	7.0	25.0	3529.0	0.0	418.0	461.0	0.0	139.0	36699.0
