Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
GRASO_176	26970756.0	98.0	19826593.0	73.51	97.14	5250596.0	5241478.0	5187606.0	37537.0	5747.0	19706.0	0.39	0.02	1.93	0.01	1.6	5960419.0	22.1	28700.0	0.11	0.0	4.14	0.14	0	1117262	37782
GRASO_177	21815021.0	98.0	17590013.0	80.63	97.46	4101269.0	4094047.0	4047093.0	35604.0	3772.0	14800.0	0.38	0.02	1.96	0.01	1.71	3726197.0	17.08	24172.0	0.11	0.0	2.08	0.1	0	452867	21772
GRASO_178	36950485.0	98.0	30770148.0	83.27	97.3	6537804.0	6525038.0	6459828.0	49714.0	5253.0	23009.0	0.39	0.02	2.03	0.02	1.8	5358320.0	14.5	49752.0	0.13	0.0	1.99	0.1	0	735315	36950
GRASO_179	50845395.0	97.0	42185529.0	82.97	96.9	6231840.0	6210778.0	6142950.0	55612.0	6270.0	27008.0	0.44	0.03	2.08	0.02	1.81	7048814.0	13.86	72774.0	0.14	0.0	2.9	0.13	0	1472279	65999
GRASO_180	38612006.0	97.0	30499354.0	78.99	97.0	6131881.0	6119101.0	6059411.0	44807.0	5159.0	22504.0	0.41	0.02	2.01	0.01	1.79	6605327.0	17.11	57806.0	0.15	0.0	3.66	0.1	0	1410968	38551
HIGADO_01	27001110.0	97.0	20251650.0	75.0	97.07	7425247.0	7415697.0	7323104.0	60025.0	6660.0	35458.0	0.4	0.01	1.91	0.01	1.61	5619261.0	20.81	57928.0	0.21	0.0	3.16	0.81	0	853495	218776
HIGADO_02	40596991.0	98.0	29935652.0	73.74	97.3	11184575.0	11172172.0	11031795.0	74344.0	25782.0	52654.0	0.41	0.01	1.86	0.01	1.55	9155624.0	22.55	114181.0	0.28	0.0	2.45	0.98	0	993953	397581
HIGADO_03	34964183.0	98.0	25708990.0	73.53	97.55	9947838.0	9939111.0	9834208.0	68122.0	8062.0	37446.0	0.4	0.01	1.88	0.01	1.52	7821361.0	22.37	40342.0	0.12	0.0	2.79	1.19	0	976843	416647
HIGADO_04	32538559.0	97.0	22268060.0	68.44	97.27	8137157.0	8126026.0	8014352.0	71550.0	12457.0	38798.0	0.4	0.01	2.01	0.01	1.52	8477362.0	26.05	202112.0	0.62	0.0	3.67	1.22	0	1194082	396943
HIGADO_05	32131213.0	98.0	25523332.0	79.43	97.69	9948831.0	9938064.0	9813097.0	70738.0	18231.0	46765.0	0.39	0.01	1.88	0.01	1.51	5599699.0	17.43	72263.0	0.22	0.0	2.18	0.74	0	698734	237185
HIGADO_06	35888635.0	97.0	26171170.0	72.92	97.28	10350870.0	10339581.0	10203436.0	82895.0	13262.0	51277.0	0.41	0.01	1.97	0.01	1.51	8105347.0	22.58	100384.0	0.28	0.0	2.98	1.24	0	1067528	444206
HIGADO_07	51119811.0	97.0	36574618.0	71.55	97.36	14219911.0	14202326.0	14030102.0	88682.0	31574.0	69553.0	0.42	0.01	1.92	0.01	1.47	12040611.0	23.55	40378.0	0.08	0.0	3.33	1.49	0	1702448	761756
HIGADO_08	39608928.0	98.0	26856100.0	67.8	97.44	9952586.0	9940896.0	9825292.0	67289.0	14040.0	45965.0	0.43	0.01	1.99	0.01	1.5	10986097.0	27.74	50513.0	0.13	0.0	2.88	1.45	0	1141503	574715
HIGADO_09	30676462.0	97.0	21256593.0	69.29	97.1	7708295.0	7698289.0	7585138.0	77951.0	9172.0	36034.0	0.42	0.01	1.83	0.01	1.49	8365123.0	27.27	76150.0	0.25	0.0	2.62	0.57	0	803737	174859
HIGADO_10	38501096.0	97.0	25748893.0	66.88	96.95	9484815.0	9470423.0	9355765.0	85413.0	4878.0	38759.0	0.42	0.01	1.93	0.01	1.38	10692487.0	27.77	107608.0	0.28	0.0	3.47	1.6	0	1336058	616050
HIGADO_11	44426899.0	98.0	31074281.0	69.94	97.35	11444638.0	11429612.0	11072545.0	307715.0	4428.0	59950.0	0.43	0.01	1.79	0.01	1.41	11802763.0	26.57	75105.0	0.17	0.0	2.64	0.68	0	1172693	302057
