Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X	Y	*
GRASO_153	[4858813, 112626471]	[1545950, 90463843]	[14524465, 52716770]	[1311345, 114033958]	[9801236, 115493446]	[1281224, 111246239]	[1259146, 90668790]	[1650411, 90843779]	[1278386, 88201929]	[2797703, 62275575]	[8926303, 282763074]	[1927292, 56205956]	[4462624, 266435125]	[3078962, 177699992]	[3015401, 184226339]	[4195209, 173707219]	[13017512, 147991367]	[11645649, 145729302]	[6512893, 133307652]	[2207557, 122095297]	[1446969, 16313]	[5142432, 159970021]	[25554, 3310458]	[0, 0]
GRASO_154	[1516861, 112626471]	[513420, 90463843]	[2067641, 52716770]	[348748, 114033958]	[2810143, 115493446]	[330357, 111246239]	[258685, 90668790]	[448758, 90843779]	[342755, 88201929]	[489058, 62275575]	[2443092, 282763074]	[334905, 56205956]	[1722811, 266435125]	[954828, 177699992]	[769703, 184226339]	[1132782, 173707219]	[3180286, 147991367]	[2098305, 145729302]	[1249155, 133307652]	[643714, 122095297]	[220125, 16313]	[951311, 159970021]	[10114, 3310458]	[0, 0]
GRASO_155	[6363091, 112626471]	[2379706, 90463843]	[18212295, 52716770]	[1899902, 114033958]	[9729447, 115493446]	[1946440, 111246239]	[1671478, 90668790]	[2583775, 90843779]	[1911627, 88201929]	[4155576, 62275575]	[11702446, 282763074]	[2530649, 56205956]	[7014791, 266435125]	[4452952, 177699992]	[4225745, 184226339]	[4804955, 173707219]	[17047181, 147991367]	[15379060, 145729302]	[11953463, 133307652]	[3167204, 122095297]	[3487320, 16313]	[7540715, 159970021]	[12771, 3310458]	[0, 0]
GRASO_156	[2051599, 112626471]	[814898, 90463843]	[7630537, 52716770]	[561064, 114033958]	[3121916, 115493446]	[579202, 111246239]	[686631, 90668790]	[772667, 90843779]	[542604, 88201929]	[1452780, 62275575]	[3660874, 282763074]	[701381, 56205956]	[2828420, 266435125]	[1525028, 177699992]	[1569293, 184226339]	[1552476, 173707219]	[7620958, 147991367]	[6466129, 145729302]	[3895580, 133307652]	[993128, 122095297]	[1110890, 16313]	[3163232, 159970021]	[2081, 3310458]	[0, 0]
GRASO_157	[2938646, 112626471]	[1311454, 90463843]	[5173897, 52716770]	[1023216, 114033958]	[4659114, 115493446]	[927211, 111246239]	[952648, 90668790]	[1168482, 90843779]	[956542, 88201929]	[1305143, 62275575]	[5384376, 282763074]	[1298327, 56205956]	[3755361, 266435125]	[2292598, 177699992]	[2166069, 184226339]	[2398755, 173707219]	[7010513, 147991367]	[5103740, 145729302]	[3992924, 133307652]	[1673993, 122095297]	[2127993, 16313]	[2702035, 159970021]	[7810, 3310458]	[0, 0]
GRASO_158	[2521397, 112626471]	[867912, 90463843]	[6240996, 52716770]	[824320, 114033958]	[1773120, 115493446]	[752406, 111246239]	[873116, 90668790]	[1098714, 90843779]	[858295, 88201929]	[1452978, 62275575]	[5284291, 282763074]	[993203, 56205956]	[2645715, 266435125]	[1742276, 177699992]	[1857610, 184226339]	[1928283, 173707219]	[6956182, 147991367]	[4819971, 145729302]	[3832735, 133307652]	[1166069, 122095297]	[1875367, 16313]	[2831864, 159970021]	[10479, 3310458]	[0, 0]
GRASO_159	[6308678, 112626471]	[2434872, 90463843]	[14064340, 52716770]	[1977596, 114033958]	[8407080, 115493446]	[1915920, 111246239]	[1950977, 90668790]	[2577701, 90843779]	[1990927, 88201929]	[3498954, 62275575]	[11605634, 282763074]	[2992389, 56205956]	[6602807, 266435125]	[4543817, 177699992]	[4476252, 184226339]	[4583125, 173707219]	[13290703, 147991367]	[14152423, 145729302]	[8721163, 133307652]	[3206630, 122095297]	[3560312, 16313]	[6173225, 159970021]	[33649, 3310458]	[0, 0]
GRASO_160	[3944407, 112626471]	[1569828, 90463843]	[6809523, 52716770]	[1394743, 114033958]	[5188438, 115493446]	[1178814, 111246239]	[1611436, 90668790]	[1592193, 90843779]	[1252883, 88201929]	[1880724, 62275575]	[7997026, 282763074]	[1569731, 56205956]	[4473813, 266435125]	[3286050, 177699992]	[3318098, 184226339]	[3452094, 173707219]	[8203869, 147991367]	[6610296, 145729302]	[5077323, 133307652]	[2268375, 122095297]	[3538935, 16313]	[4010883, 159970021]	[21543, 3310458]	[0, 0]
GRASO_161	[2550153, 112626471]	[1117885, 90463843]	[5277267, 52716770]	[971760, 114033958]	[5234759, 115493446]	[859422, 111246239]	[967126, 90668790]	[1085848, 90843779]	[861241, 88201929]	[1151052, 62275575]	[5004551, 282763074]	[1061142, 56205956]	[3433116, 266435125]	[2138041, 177699992]	[2215676, 184226339]	[2310841, 173707219]	[6625285, 147991367]	[4257146, 145729302]	[3475913, 133307652]	[1460350, 122095297]	[2632934, 16313]	[2751689, 159970021]	[19152, 3310458]	[0, 0]
GRASO_162	[3728595, 112626471]	[1677261, 90463843]	[8012551, 52716770]	[1456851, 114033958]	[5070510, 115493446]	[1338749, 111246239]	[1378469, 90668790]	[1683770, 90843779]	[1320071, 88201929]	[1971889, 62275575]	[7470358, 282763074]	[2065291, 56205956]	[4926287, 266435125]	[3247057, 177699992]	[3203895, 184226339]	[3514183, 173707219]	[7625314, 147991367]	[9449728, 145729302]	[5594253, 133307652]	[2289015, 122095297]	[4705920, 16313]	[3866184, 159970021]	[9300, 3310458]	[0, 0]
GRASO_163	[2465419, 112626471]	[1115908, 90463843]	[6061790, 52716770]	[923260, 114033958]	[4573055, 115493446]	[822512, 111246239]	[996004, 90668790]	[1024477, 90843779]	[802576, 88201929]	[1420280, 62275575]	[4863576, 282763074]	[1238344, 56205956]	[3469787, 266435125]	[2144731, 177699992]	[2103668, 184226339]	[2206412, 173707219]	[5530210, 147991367]	[4829713, 145729302]	[4629961, 133307652]	[1458491, 122095297]	[3624019, 16313]	[2559201, 159970021]	[4693, 3310458]	[0, 0]
GRASO_164	[2328471, 112626471]	[954802, 90463843]	[4707938, 52716770]	[764137, 114033958]	[2632032, 115493446]	[699240, 111246239]	[769666, 90668790]	[922989, 90843779]	[709230, 88201929]	[1227577, 62275575]	[4858671, 282763074]	[955976, 56205956]	[2922435, 266435125]	[1741362, 177699992]	[1693154, 184226339]	[1880483, 173707219]	[5190872, 147991367]	[5207097, 145729302]	[3423062, 133307652]	[1121087, 122095297]	[2981708, 16313]	[2358789, 159970021]	[4520, 3310458]	[0, 0]
GRASO_165	[3455959, 112626471]	[1599648, 90463843]	[8203903, 52716770]	[1286343, 114033958]	[5301527, 115493446]	[1178735, 111246239]	[1299757, 90668790]	[1515082, 90843779]	[1170639, 88201929]	[1730678, 62275575]	[6499554, 282763074]	[1875147, 56205956]	[4763950, 266435125]	[3043708, 177699992]	[2881541, 184226339]	[2904274, 173707219]	[7720447, 147991367]	[7347345, 145729302]	[5448815, 133307652]	[1935860, 122095297]	[3893135, 16313]	[3842887, 159970021]	[6847, 3310458]	[0, 0]
GRASO_166	[2673625, 112626471]	[1238674, 90463843]	[5699115, 52716770]	[1022612, 114033958]	[3415087, 115493446]	[952568, 111246239]	[993192, 90668790]	[1220067, 90843779]	[965564, 88201929]	[1281048, 62275575]	[5041254, 282763074]	[1535798, 56205956]	[3584678, 266435125]	[2302641, 177699992]	[2263949, 184226339]	[2318349, 173707219]	[5702209, 147991367]	[5012837, 145729302]	[4073973, 133307652]	[1605380, 122095297]	[2891262, 16313]	[2810758, 159970021]	[6009, 3310458]	[0, 0]
GRASO_167	[2071465, 112626471]	[1008721, 90463843]	[5710130, 52716770]	[884431, 114033958]	[3064370, 115493446]	[792200, 111246239]	[676121, 90668790]	[938978, 90843779]	[746188, 88201929]	[1334816, 62275575]	[4186954, 282763074]	[1161115, 56205956]	[2804652, 266435125]	[1889994, 177699992]	[1828128, 184226339]	[2089139, 173707219]	[6496851, 147991367]	[5064536, 145729302]	[3705096, 133307652]	[1341925, 122095297]	[2740669, 16313]	[2543077, 159970021]	[15217, 3310458]	[0, 0]
GRASO_168	[3148993, 112626471]	[1291091, 90463843]	[13385810, 52716770]	[1025154, 114033958]	[6696940, 115493446]	[968400, 111246239]	[898736, 90668790]	[1135241, 90843779]	[901215, 88201929]	[2438924, 62275575]	[7421048, 282763074]	[1602684, 56205956]	[3352942, 266435125]	[2331015, 177699992]	[2252175, 184226339]	[3280237, 173707219]	[11640408, 147991367]	[9974981, 145729302]	[5704745, 133307652]	[1744759, 122095297]	[2263179, 16313]	[4492061, 159970021]	[17452, 3310458]	[0, 0]
GRASO_169	[4187804, 112626471]	[1012066, 90463843]	[13161760, 52716770]	[471000, 114033958]	[32747589, 115493446]	[886120, 111246239]	[664768, 90668790]	[944427, 90843779]	[603968, 88201929]	[3131959, 62275575]	[11908706, 282763074]	[1454573, 56205956]	[3078640, 266435125]	[1825040, 177699992]	[1834199, 184226339]	[6238491, 173707219]	[19336631, 147991367]	[8101305, 145729302]	[4298103, 133307652]	[1919380, 122095297]	[284997, 16313]	[3768085, 159970021]	[13136, 3310458]	[0, 0]
GRASO_170	[3466442, 112626471]	[1446638, 90463843]	[6909279, 52716770]	[1154655, 114033958]	[3768287, 115493446]	[1132158, 111246239]	[1026233, 90668790]	[1425031, 90843779]	[1141308, 88201929]	[1681482, 62275575]	[6357367, 282763074]	[1988938, 56205956]	[3843570, 266435125]	[2683610, 177699992]	[2649426, 184226339]	[2703790, 173707219]	[7071788, 147991367]	[6794181, 145729302]	[4590602, 133307652]	[1820917, 122095297]	[1366039, 16313]	[3838062, 159970021]	[6591, 3310458]	[0, 0]
GRASO_171	[3565317, 112626471]	[1558605, 90463843]	[5544186, 52716770]	[1275554, 114033958]	[3092143, 115493446]	[1149218, 111246239]	[1292794, 90668790]	[1335365, 90843779]	[1100208, 88201929]	[1643349, 62275575]	[6384456, 282763074]	[1590756, 56205956]	[4075060, 266435125]	[2977945, 177699992]	[2877651, 184226339]	[2738061, 173707219]	[5797389, 147991367]	[5904791, 145729302]	[4045242, 133307652]	[2037536, 122095297]	[1205069, 16313]	[2811618, 159970021]	[6846, 3310458]	[0, 0]
GRASO_172	[2016938, 112626471]	[884670, 90463843]	[2996903, 52716770]	[737096, 114033958]	[3241740, 115493446]	[631735, 111246239]	[741513, 90668790]	[788101, 90843779]	[624192, 88201929]	[957051, 62275575]	[3588696, 282763074]	[844908, 56205956]	[2727244, 266435125]	[1672237, 177699992]	[1658502, 184226339]	[1571511, 173707219]	[4047963, 147991367]	[3137079, 145729302]	[2450834, 133307652]	[1139126, 122095297]	[1264055, 16313]	[1936155, 159970021]	[12445, 3310458]	[0, 0]
