Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
HIGADO_56	3402508.0	106673.0	834148.0	625663.0	28483.0	27052.0	22299.0	179110.0	202637.0	37167.0	382994.0
HIGADO_57	3779117.0	130244.0	912820.0	731381.0	35837.0	31349.0	26612.0	193883.0	219738.0	41810.0	426535.0
HIGADO_58	4016573.0	127921.0	952277.0	708210.0	32913.0	30992.0	24644.0	202721.0	230795.0	42013.0	405862.0
HIGADO_59	4008509.0	126201.0	958495.0	647372.0	31945.0	29608.0	24639.0	202908.0	228522.0	41859.0	399519.0
HIGADO_60	3667664.0	118770.0	894572.0	986089.0	33927.0	35996.0	30338.0	193190.0	222277.0	44539.0	480670.0
MUSCULO_100	6194711.0	236958.0	1535542.0	2306752.0	81858.0	89602.0	78100.0	392391.0	505007.0	115422.0	1136272.0
MUSCULO_101	4570122.0	152614.0	1104027.0	1091858.0	47239.0	49113.0	43527.0	275810.0	349586.0	74606.0	686616.0
MUSCULO_102	3048431.0	99719.0	720830.0	596994.0	29385.0	29838.0	26558.0	170713.0	204661.0	42776.0	422116.0
MUSCULO_103	3002122.0	113065.0	767720.0	657411.0	35535.0	32180.0	28743.0	185432.0	223754.0	46423.0	481477.0
MUSCULO_104	4090243.0	134303.0	989724.0	1256412.0	42606.0	49737.0	44480.0	246224.0	310378.0	70070.0	676738.0
MUSCULO_105	3835913.0	138396.0	896140.0	988233.0	43785.0	44772.0	39456.0	221683.0	273658.0	60801.0	597445.0
MUSCULO_106	2883217.0	97254.0	681949.0	867815.0	31733.0	37458.0	32594.0	166090.0	202635.0	46429.0	490246.0
MUSCULO_107	4010120.0	132898.0	957206.0	1318743.0	43190.0	51843.0	46479.0	241139.0	308282.0	70733.0	682971.0
MUSCULO_108	5119083.0	184603.0	1215158.0	1707324.0	61632.0	69504.0	60321.0	306920.0	395465.0	90207.0	868952.0
MUSCULO_109	3686300.0	119087.0	874264.0	621086.0	34620.0	34018.0	30398.0	208958.0	252563.0	51026.0	494414.0
MUSCULO_110	3575179.0	119428.0	845530.0	1024438.0	36833.0	40971.0	36353.0	204765.0	252713.0	55578.0	552739.0
MUSCULO_111	3304051.0	107347.0	769841.0	949181.0	33667.0	39316.0	34516.0	187059.0	231162.0	52622.0	532087.0
MUSCULO_112	3763692.0	120702.0	867666.0	1049711.0	37929.0	46419.0	40706.0	216976.0	275244.0	63479.0	596388.0
MUSCULO_113	3441551.0	97472.0	865495.0	2516331.0	40006.0	72160.0	67657.0	232024.0	322516.0	92722.0	923474.0
MUSCULO_114	3162778.0	91909.0	742792.0	1416711.0	31946.0	49655.0	46593.0	192104.0	254373.0	65467.0	682659.0
MUSCULO_115	4052563.0	123420.0	973870.0	2445027.0	45953.0	75688.0	69199.0	258619.0	348977.0	94805.0	943779.0
MUSCULO_116	5060068.0	180427.0	1225401.0	1777701.0	61575.0	72963.0	63400.0	316333.0	412147.0	96509.0	914021.0
MUSCULO_117	2842102.0	86574.0	646668.0	865044.0	26495.0	34702.0	31453.0	160508.0	199413.0	45841.0	458222.0
MUSCULO_118	4287311.0	148488.0	1030983.0	908664.0	44817.0	43095.0	38486.0	253876.0	315333.0	65325.0	617772.0
MUSCULO_119	3203833.0	96825.0	736850.0	1028471.0	30526.0	41467.0	36552.0	186474.0	239932.0	55819.0	548394.0
MUSCULO_120	3899845.0	120101.0	916241.0	1156612.0	37569.0	45960.0	40634.0	227255.0	288948.0	64800.0	607192.0
MUSCULO_61	4721007.0	180278.0	1208722.0	1275786.0	58886.0	56181.0	49897.0	302279.0	379844.0	82639.0	757881.0
MUSCULO_62	5629627.0	171822.0	1354897.0	1855449.0	56239.0	73922.0	65367.0	356575.0	473949.0	107529.0	946411.0
MUSCULO_63	5221545.0	187181.0	1284279.0	1459437.0	62273.0	64575.0	55538.0	322798.0	410792.0	89444.0	817840.0
MUSCULO_64	3644495.0	126570.0	907977.0	644217.0	38461.0	35852.0	31907.0	222541.0	273875.0	55213.0	511922.0
MUSCULO_65	3204084.0	106396.0	827139.0	906104.0	33576.0	36790.0	33397.0	203192.0	251307.0	53822.0	535270.0
MUSCULO_66	3134632.0	90535.0	764663.0	1100306.0	29723.0	42318.0	38141.0	189202.0	242432.0	57223.0	584136.0
MUSCULO_67	3020275.0	104061.0	761690.0	671163.0	32053.0	32463.0	29972.0	185862.0	229399.0	48275.0	477984.0
MUSCULO_68	2959723.0	96253.0	715261.0	856495.0	30454.0	35873.0	32194.0	178629.0	223161.0	50617.0	500312.0
MUSCULO_69	3133305.0	100436.0	771919.0	1261181.0	33430.0	44625.0	39737.0	188618.0	236233.0	55902.0	603382.0
MUSCULO_70	3158479.0	106087.0	777744.0	710415.0	32096.0	34371.0	31174.0	191620.0	236558.0	50450.0	489914.0
MUSCULO_71	3485011.0	108676.0	849993.0	997950.0	34627.0	41387.0	37175.0	210691.0	262673.0	57082.0	561005.0
